CUST_NO,XCOORD,YCOORD,DEMAND,ST,ET,DE
1,41,49,-1,0,480,1
2,35,17,7,0,480,1
3,55,45,-3,0,480,1
4,55,20,19,0,480,0
5,15,30,-6,0,480,1
6,25,30,3,0,480,1
7,20,50,5,0,480,1
8,10,43,-9,0,480,1
9,55,60,-16,0,480,0
10,30,60,6,0,480,1
11,20,65,-2,0,480,1
12,50,35,-9,0,480,1
13,30,25,-3,0,480,1
14,15,10,20,0,480,0
15,30,5,-8,0,480,1
16,10,20,-5,0,480,1
17,5,30,0,0,480,1
18,20,40,-2,0,480,1
19,15,60,-7,0,480,1
20,45,65,-9,0,480,1
21,45,20,-1,0,480,1
22,45,10,8,0,480,1
23,55,5,-2,0,480,1
24,65,35,3,0,480,1
25,65,20,-6,0,480,1
26,45,30,7,0,480,1
27,35,40,-6,0,480,1
28,41,37,-6,0,480,1
29,64,42,9,0,480,1
30,40,60,3,0,480,1
31,31,52,27,0,480,0
32,35,69,-3,0,480,1
33,53,52,7,0,480,1
34,65,55,-4,0,480,1
35,63,65,-8,0,480,1
36,2,60,-5,0,480,1
37,20,20,-8,0,480,1
38,5,5,-7,0,480,1
39,60,12,-3,0,480,1
40,40,25,9,0,480,1
41,42,7,-5,0,480,1
42,24,12,-5,0,480,1
43,23,3,7,0,480,1
44,11,14,8,0,480,1
45,6,38,16,0,480,0
46,2,48,1,0,480,1
47,8,56,7,0,480,1
48,13,52,-3,0,480,1
49,6,68,-3,0,480,1
50,47,47,-5,0,480,1
51,49,58,1,0,480,1
52,27,43,9,0,480,1
53,37,31,4,0,480,1
54,57,29,8,0,480,1
55,63,23,2,0,480,1
56,53,12,6,0,480,1
57,32,12,7,0,480,1
58,36,26,18,0,480,0
59,21,24,2,0,480,1
60,17,34,3,0,480,1
